,Session,Question,Question from,Party,Date Dated,Date Answered
0,2015-2016,"Jeg synes det i dag er på sin plass med en gratulasjon til statsministeren. Jeg mener at hun fortjener en gratulasjon for å ha greid å få Arbeiderpartiet med på et skatteforlik som vil gi 1,5 mrd. kr i redusert skatt for både formue og utbytte – og med det gitt statsministeren en blankofullmakt til ytterligere skatteendringer som vil kunne bidra til å øke forskjellene i Norge, til høsten. Det er godt politisk håndverk, men det er dårlig politikk for Norge. 
Vi hadde nå trengt endringer i skattesystemet som bidrar til mer rettferdig fordeling, som bidrar til å dempe presset på oljemarkedet, som gjør noe med skatteparadisene. I stedet får vi ytterligere kutt i formuesskatt og nå også i utbytteskatt. 
Denne uken fikk vi se fordelingseffektene av de skatteendringene som her foreslås. Mens en ofte snakker om at endringer i formuesskatten skal hjelpe eiere av små bedrifter, bedriftseiere i oppstartsfasen osv., viser disse tallene at det en kanskje kan kalle normalt velstående mennesker, folk med mellom 1 mill. kr og 5 mill. kr i formue, får en hundrelapp hver i formuesskattelettelse – mens de 1 400 rikeste i Norge, 0,2 promille av befolkningen, får 326 000 kr hver: 0,5 mrd. kr i skattekutt. 
Da er mitt spørsmål: Synes statsministeren at de rikeste 0,2 promille har så store, udekkede behov at de trenger 0,5 mrd. kr i lavere skatt? 
",Audun Lysbakken,Sosialistisk Venstreparti,2016-06-01,2016-06-01
1,2015-2016,"På Høyres landsmøte sa Erna Solberg at «økonomiske politikken virker nå kraftig for å bekjempe ledigheten». «Ikke la noen fortelle dere noe annet», sa Solberg, til stor jubel fra Høyres politikere. Men titusenvis av folk i Norge kan fortelle Erna Solberg og Høyre om noe helt annet. Vanlige folk forteller om fortvilelsen over å miste jobben, som ingeniøren som til TV 2 sier om Erna Solberg at: 

«Jeg skjønner ikke hva hun snakker om. Det er nå hun må ta tak i det. (…) Det er nå, akkurat nå, det skjer». 

Eller ordføreren i Haugesund, som forteller at 

«tiltakene kommer for sent, de er for små til å få vesentlig betydning og de stanser ikke den negative spiralen. (…) tapet i skatteinntekter er så høyt at det fører til innstramninger og nye kutt som igjen fører til enda flere tapte arbeidsplasser». 

Eller presidenten i NHO, som forteller at utviklingen går i feil retning: 

«barometeret fra 1. kvartal 2016, viser hvordan krisen er i ferd med å spre seg til stort sett alle deler av landet. Oslo og Akershus begynner å nærme seg de negative markedsutsiktene som bedriftene på Vestlandet har opplevd». 

Den økonomiske politikken til regjeringen virker slettes ikke kraftig for å bekjempe ledighet, slik statsministeren sier. Vi har flere uten arbeid enn på over 20 år. Regjeringen mener at 20 mrd. kr i skattekutt skal gi flere arbeidsplasser, men på tross av rekordhøy oljepengebruk for å finansiere disse skattekuttene fortsetter arbeidsløsheten å øke. Rekordhøy arbeidsløshet er sløsing med Norges arbeidskraftsressurser. Rekordhøye skattekutt er sløsing med Norges kapitalressurser. Norge trenger en annen politikk. 
Mitt spørsmål er: Insisterer Erna Solberg fortsatt på at regjeringens politikk virker kraftig mot arbeidsløsheten, eller tar hun innover seg den alvorlige virkeligheten folk i Norge forteller om?",Trond Giske,Arbeiderpartiet,2016-06-01,2016-06-01
2,2015-2016,"Dagens Næringsliv har dei siste dagane sett søkjelyset på delar av det norske petroleumsskattesystemet og utbetalingar frå statskassa i hundremillionarsklassen til oljeselskap som vert nedlagde eller går med underskot. Ordningane DN har skrive om, som dreier seg om leiterefusjonar, der alle oljeselskap, uavhengig av om ein tener pengar, får dekt 78 pst. av leitekostnadene, og opphøyrsrefusjonsordninga, der selskap som avsluttar verksemda på norsk sokkel med underskot, får utbetalt skatteverdien av udekte underskot, vart til som eit resultat av ein NOU rundt år 2000 og vart innførte tidleg på 2000-talet. Det var nok rett i si tid. Spørsmålet er om det framleis er det. Det er nok mange andre bransjar som kan tenkja seg ei ordning der staten dekkjer 78 pst. av kostnadene uavhengig av om ein tener pengar, og ei ordning med kontantutbetaling om ein avsluttar verksemda med underskot. 
Venstre har ved fleire høve utfordra regjeringspartia og regjeringa på ein ny gjennomgang av skattereglane for petroleumsverksemda, ei ny NOU. Me meiner det er spesielt viktig når den finansielle risikoen knytt til oljeverksemd både er langt større no og utvilsamt vil auka dei neste ti åra. Kvifor vil ikkje regjeringa vera med på dette? Det kan ikkje vera slik at dagens regelverk er det 100 pst. ideelle når me ser resultata, slik DN har skrive om dei siste dagane. Og er ikkje alle tente med – som òg er spørsmål til statsministeren – meir kunnskap om og vurderingar av kva som er det ideelle skatteregimet for ei så viktig næring, sett opp mot rammevilkåra dei nødvendigvis vil møta dei neste ti åra? 
",Terje Breivik,Venstre,2016-06-01,2016-06-01
3,2015-2016,"Jeg skal glede statsministeren med å gi henne muligheten til å snakke om en av regjeringas største og viktigste prestisjesaker, nemlig kommunereformen. 
Søndag og mandag denne uka ble det gjennomført 52 folkeavstemninger om kommunesammenslåing, og her sa fire av fem kommuner nei til sammenslåing. Hittil i 2016 har det vært folkeavstemning i 130 kommuner. 87 kommuner har sagt nei. 26 har sagt ja. De resterende 17 er enten splittet eller har hatt ulike alternativ. Valgdeltakelsen har mange plasser vært høy, særlig i kommuner med stor motstand. Eksempel er Snåsa med 72 pst., Frosta 66 pst, Eidfjord 68 pst., Modalen 74 pst., Fitjar 68 pst., Hægebostad 72 pst. og Vik og Vanylven 63 pst., for å nevne noen. Innbyggerundersøkelsene viser at motstanden mot sammenslåing er størst blant de yngste innbyggerne. 
Regjeringen har gått baklengs inn i dette reformarbeidet. Istedenfor å starte med å avklare oppgaver og økonomi og deretter diskutere sammenslåing valgte regjeringen det motsatte. Kommunene fikk pålegg om å lage kart og diskutere hvem de skal slå seg sammen med, enten de ville eller ikke. De nye oppgavene som skulle komme, de kom aldri. Reformprosessen får nå massiv kritikk fra ordførere, rådmenn, kommunestyrerepresentanter og innbyggere. Folk stemmer nei og atter nei i folkeavstemninger. 
Omtalen av reformen varierer mellom «reformen vakler videre», «det er fiasko» eller «det er kaos». Men kommunalministeren er likevel tilfreds. Han mener prosessene er gode og at det tydelige nei-flertallet i et stort flertall av kommunene er som forventet. 
Deler statsministeren kommunalministerens vurdering av at reformarbeidet er vellykket, og at den massive motstanden i et stort flertall av folkeavstemningene er som forventet? 
",Marit Arnstad,Senterpartiet,2016-06-01,2016-06-01
4,2015-2016,"Det er lett å tenke seg at slaveri er noe som tilhører fortiden, at det ble avskaffet for et par hundre år siden. Men faktum er at det finnes flere slaver i verden i dag enn noen gang. En internasjonal forskningsrapport som kom ut på mandag, sier at kanskje så mange som 45 millioner mennesker blir utsatt for tvangsarbeid, sexslaveri og andre former for grov utnytting. 
Slaveri finnes også i Norge. De siste årene er det heldigvis kommet flere dommer når det gjelder menneskehandel. I en fersk Fafo-rapport dokumenteres det at det er mange barn som lever i slaveri også i Norge. Bare på litt over to år er det blitt identifisert 139 ungdommer som er mulige ofre for menneskehandel. 
Det blir lett tall, og Dagbladet kjører nå en serie som de kaller «Skyggebarna». Der får vi lov å møte enkeltmenneskene. Det er f.eks. Gloria på 16 år, som ble tvunget til å selge sex utenfor Oslo City. Det er Hannah på 14 år, som ble voldtatt av menneskesmuglere og tatt til Norge for å selge sex, eller Linda på 16 år, som måtte jobbe gratis som vaskehjelp og ble holdt fanget. Det er noen av enkeltmenneskene. 
I flere av historiene som Fafo-rapporten beskriver, kommer det fram at voksne visste – eller iallfall hadde en anelse om – hva som foregikk. De skjønte at den unge jenta på mottaket ble misbrukt som sexslave, eller at den unge gutten ble tvunget til å selge narkotika, men de gjorde ingenting. I noen tilfeller var barnevern og politi varslet, men likevel skriver Fafo at ting ikke ble gjort. Det er totalt uakseptabelt. 
Derfor er mitt spørsmål til statsministeren: Hvilket inntrykk gjør det på statsministeren når hun hører eller leser historier om at barn i vårt eget land blir utnyttet på denne måten? 
",Kjell Ingolf Ropstad,Kristelig Folkeparti,2016-06-01,2016-06-01
5,2015-2016,"I sin siste landsmøtetale sa Erna Solberg at det nå står 42 000 færre i såkalt helsekø enn da regjeringen tiltrådte. Det er blitt et fast innslag i regjeringens skryteliste. Men det at antallet som venter, har gått ned fra om lag 260 000 til om lag 220 000, sier det noe om det som virkelig teller – får de behandling?
Den siste ukens avsløringer i Dagens Medisin stiller alvorlige spørsmål ved regjeringens resultater. Vi har fått avdekket en markert endring i hvordan sykehusene registrerer pasienter som venter. Ifølge Dagens Medisin plasserer sykehusene i større grad pasienten i kø til en første konsultasjon enn i kø for en spesifikk behandling. Stikk i strid med intensjonen i lovverket kan sykehusene dermed kjapt få pasienten ut av den synlige helsekøen, som vi kan kontrollere, og over i en intern helsekø som vi ikke har tilgang til. Bare på Oslo universitetssykehus, OUS, på én klinikk, skal det befinne seg over 15 000 pasienter i såkalte interne ventelister. Pasientene holdes for narr, er den harde dommen fra pasientombudet for Oslo og Akershus, Anne-Lise Kristensen.
Ventetid er komplisert – det har jeg selv erfart. Det må håndteres med varsomhet. Det vi har hørt, er ganske skråsikre politikere som uten særlig faglig begrunnelse påstår at ventebildet er totalt endret på få år. Denne saken er alvorlig, for når du er syk, er det få ting som betyr mer enn tillit, tillit til at helsetjenesten har ditt beste øverst på agendaen, ikke styrt av politiske mål om hvilken liste du står på. Kvalitetssjefen ved Lovisenberg sykehus sier at de dramatiske endringene i ventetidene de siste tre–fire årene er «best for politikerne, ikke like bra for pasientene».
Statsministeren påstår at 42 000 færre pasienter står i kø nå enn i 2013. Er hun sikker på at disse pasientene faktisk er i gang med behandling eller er mange av dem bare flyttet til en kø som ikke er synlig i den offisielle statistikken?
",Jonas Gahr Støre,Arbeiderpartiet,2016-06-01,2016-06-01
6,2015-2016,"Flertallet i finanskomiteen har, mot undertegnedes stemme, valgt å hastebehandle spørsmålet om norsk tilknytning til EUs finanstilsyn (Prop. 100 S (2015-2016) og Prop. 101 S (2015-2016)). Avgivelse er satt til 6. juni 2016. Under behandlingen har det fremkommet ytterligere opplysninger, som forsterker behovet for at komiteen bevilger seg mer tid. Dette gjelder bl.a. de konstitusjonelle sidene, herunder spørsmålet om presedens for behandling av Norges tilknytning til andre EU-tilsyn og -byråer. Professor Eivind Smith advarte i Nationen 24. mai om at «løsningen regjeringen ønsker å få Stortinget med på, er mest en rent formalistisk omgåing av kravene til myndighetsoverføring i Grunnloven». Ifølge statsråd Aspaker i Nationen 29. mai vil denne løsningen bli malen fremover, blant annet på energi. 
Vil presidentskapet ut fra sitt ansvar etter forretningsordenen § 32 sørge for utsatt avgivelse for å få belyst de vektige konstitusjonelle motforestillingene og sikre at vedtak skjer i samsvar med Grunnloven?",Trygve Slagsvold Vedum,Senterpartiet,2016-05-31,2016-06-03
7,2015-2016,"Arkivverket har et stort behov for arkivutviklingsmidler, bare 4 mill. kroner er tilgjengelig. De har i år mottatt 55 søknader med et samlet søknadsbeløp på 24 mill. kroner. Arkivverket kan bare i særlige tilfeller gi støtte til privatarkiv.
Hva vil statsråden gjøre for å bedre finansieringen av privatarkivarbeidet?",Hege Haukeland Liadal,Arbeiderpartiet,2016-05-26,2016-06-01
8,2015-2016,"Samfunn med små forskjeller gir mennesker størst mulighet til arbeid, utdanning, velstand og trygghet, men Norge går motsatt vei. Skattepolitikken øker forskjellene, kutt i velferdsordninger rammer de som har minst, arbeidsvilkår svekkes og arbeidsledigheten er rekordhøy. Regjeringen fører en politikk som i sum øker forskjellene.
Er dette en villet utvikling fra statsministeren og regjeringens side?",Trond Giske,Arbeiderpartiet,2016-05-26,2016-06-01
9,2015-2016,"Det er et viktig prinsipp at utdanning i Norge er gratis og at unge skal ha et like godt tilbud, uavhengig av inntekt. De siste årene har antallet elever på private videregående skoler steget og stadig flere betaler for profesjonell leksehjelp. Mange foreldre har ikke råd til å betale for dette. Statsråden har i denne perioden åpnet for flere privatskoler og mer privatundervisning.
Hvilke konkrete grep vil statsråden gjøre for å stoppe denne utviklingen og sikre alle barn reelt sett like muligheter til en god utdanning?",Karianne O. Tung,Arbeiderpartiet,2016-05-26,2016-06-01
